Prediction,Label
sad,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
surprise,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
angry,emotion_label
neutral,emotion_label
angry,emotion_label
neutral,emotion_label
sad,emotion_label
angry,emotion_label
neutral,emotion_label
angry,emotion_label
sad,emotion_label
angry,emotion_label
angry,emotion_label
sad,emotion_label
angry,emotion_label
sad,emotion_label
happy,emotion_label
neutral,emotion_label
angry,emotion_label
happy,emotion_label
angry,emotion_label
sad,emotion_label
sad,emotion_label
sad,emotion_label
neutral,emotion_label
sad,emotion_label
angry,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
sad,emotion_label
sad,emotion_label
sad,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
happy,emotion_label
happy,emotion_label
happy,emotion_label
happy,emotion_label
happy,emotion_label
happy,emotion_label
happy,emotion_label
happy,emotion_label
happy,emotion_label
happy,emotion_label
happy,emotion_label
happy,emotion_label
happy,emotion_label
happy,emotion_label
happy,emotion_label
happy,emotion_label
happy,emotion_label
happy,emotion_label
happy,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
happy,emotion_label
neutral,emotion_label
happy,emotion_label
neutral,emotion_label
happy,emotion_label
happy,emotion_label
happy,emotion_label
happy,emotion_label
happy,emotion_label
neutral,emotion_label
happy,emotion_label
happy,emotion_label
neutral,emotion_label
neutral,emotion_label
happy,emotion_label
happy,emotion_label
neutral,emotion_label
happy,emotion_label
neutral,emotion_label
happy,emotion_label
neutral,emotion_label
happy,emotion_label
neutral,emotion_label
happy,emotion_label
neutral,emotion_label
happy,emotion_label
neutral,emotion_label
happy,emotion_label
neutral,emotion_label
happy,emotion_label
happy,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
happy,emotion_label
sad,emotion_label
sad,emotion_label
neutral,emotion_label
sad,emotion_label
sad,emotion_label
sad,emotion_label
sad,emotion_label
sad,emotion_label
sad,emotion_label
angry,emotion_label
sad,emotion_label
sad,emotion_label
sad,emotion_label
sad,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
sad,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
angry,emotion_label
sad,emotion_label
angry,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
sad,emotion_label
sad,emotion_label
angry,emotion_label
neutral,emotion_label
sad,emotion_label
neutral,emotion_label
sad,emotion_label
neutral,emotion_label
neutral,emotion_label
sad,emotion_label
sad,emotion_label
sad,emotion_label
sad,emotion_label
angry,emotion_label
angry,emotion_label
sad,emotion_label
sad,emotion_label
neutral,emotion_label
neutral,emotion_label
sad,emotion_label
sad,emotion_label
sad,emotion_label
sad,emotion_label
sad,emotion_label
sad,emotion_label
happy,emotion_label
angry,emotion_label
sad,emotion_label
angry,emotion_label
sad,emotion_label
sad,emotion_label
sad,emotion_label
sad,emotion_label
sad,emotion_label
angry,emotion_label
sad,emotion_label
angry,emotion_label
sad,emotion_label
sad,emotion_label
sad,emotion_label
angry,emotion_label
angry,emotion_label
sad,emotion_label
angry,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
sad,emotion_label
neutral,emotion_label
sad,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
angry,emotion_label
sad,emotion_label
angry,emotion_label
sad,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
neutral,emotion_label
